CTCF,DNase,H2A,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K79me2,H3K9ac,H3K9me3,H4K20me1,Boundary
439.4599999999999,287.06,242.65,169.95999999999998,53.2,79.91000000000001,243.96,254.25000000000003,297.2900000000001,71.55999999999999,260.78000000000003,47.87,74.38999999999999,chr1:940001:960001	0.83
130.85,192.70999999999998,131.73000000000002,35.11,68.13,51.4,56.040000000000006,96.25,102.55999999999999,26.479999999999997,84.59,82.59,69.86,chr1:1850001:1870001	0.59
468.22999999999996,228.43,187.12,206.27,33.25999999999999,111.08,173.66000000000003,250.57000000000002,223.2,169.59,238.21000000000004,56.31000000000001,57.11,chr1:2110001:2130001	0.00
136.35,219.7,97.31,287.72999999999996,29.95,312.48999999999995,206.18,211.21000000000004,331.60999999999996,486.34,380.93999999999994,65.99999999999999,125.92999999999999,chr1:2320001:2340001	0.72
261.18,108.44,76.83,25.63,70.64999999999999,53.75,37.93,46.809999999999995,52.080000000000005,30.270000000000003,35.62,244.86,75.85000000000002,chr1:2920001:2940001	0.00
273.92,138.09,109.86000000000001,37.75000000000001,171.14,56.75,34.4,40.31999999999999,63.98,23.669999999999998,79.03999999999999,90.65,119.18000000000002,chr1:3350001:3370001	0.00
61.58999999999999,101.67999999999998,55.12,26.429999999999996,43.720000000000006,62.669999999999995,23.0,16.75,46.19,24.16,23.4,268.97,70.92999999999998,chr1:3990001:4010001	0.00
216.27,222.89,219.04999999999998,128.48,36.67999999999999,118.22,125.67999999999999,174.15,222.40000000000003,114.61000000000001,213.51,61.85,103.71,chr1:6040001:6060001	1.15
114.86,184.29000000000002,112.35,109.61,65.09,282.66999999999996,110.67,160.68000000000004,194.2,265.6,260.02000000000004,60.269999999999996,123.26,chr1:6280001:6300001	0.58
484.86000000000007,143.23000000000002,44.39,57.46,43.2,378.68,68.56,41.65,67.50999999999999,131.8,68.18,55.93,149.38000000000002,chr1:6520001:6540001	2.35
311.75,170.94000000000003,95.46,44.29,136.09,57.48,49.25999999999999,48.68000000000001,52.589999999999996,28.02,88.75,85.28,125.21999999999998,chr1:7270001:7290001	0.58
1187.1399999999999,157.49000000000004,109.52,35.24,64.78,52.96,44.0,44.99,36.0,22.160000000000004,63.220000000000006,48.44,66.69999999999999,chr1:7710001:7730001	0.76
756.5099999999999,194.36,49.150000000000006,68.46000000000001,31.97,353.8,59.16,49.68999999999999,62.62,211.89,91.11000000000001,67.41999999999999,158.15,chr1:8030001:8050001	1.56
205.87,345.88,136.08,484.95,38.550000000000004,231.9,403.86,506.13,450.5,518.02,454.62,63.48,129.52,chr1:8470001:8490001	2.01
350.94,429.98,90.61999999999999,455.76000000000005,30.050000000000004,407.31999999999994,389.30999999999995,388.01,455.35999999999996,849.2900000000001,513.08,61.56,184.54000000000002,chr1:8920001:8940001	1.24
962.4,208.02000000000004,58.36,42.47,31.02,121.37,50.98,48.35999999999999,45.480000000000004,89.92,74.7,44.33,90.4,chr1:9160001:9180001	2.16
450.47999999999996,161.26999999999998,71.73,69.25,37.56999999999999,86.83,126.91000000000001,60.59,51.12,65.48,70.8,48.69,81.57000000000001,chr1:9320001:9340001	0.69
800.0500000000002,168.45,103.85999999999999,45.54,129.66,110.57,53.6,83.03000000000002,58.01,28.530000000000005,71.56,58.19,100.55,chr1:9670001:9690001	0.43
409.67,187.54,56.39,67.79,33.129999999999995,177.04000000000002,82.86,81.10000000000001,62.800000000000004,581.11,91.24,60.78000000000001,197.46000000000004,chr1:10540001:10560001	3.25
86.74,234.04,186.88,284.4800000000001,82.29,244.85999999999999,177.51000000000002,322.00000000000006,419.35,465.9600000000001,569.4,82.77999999999999,191.99,chr1:11060001:11080001	2.98
72.89,144.59,62.40000000000001,36.059999999999995,70.92999999999999,101.21,57.76,53.07000000000001,37.4,49.260000000000005,63.26,57.62000000000001,104.00000000000001,chr1:11350001:11370001	0.85
98.08000000000001,167.77,87.91,133.79000000000002,38.86,365.94000000000005,174.41000000000003,152.57000000000002,65.48,166.32999999999998,144.1,107.17999999999999,156.74999999999997,chr1:12350001:12370001	2.16
405.54,138.00000000000003,88.49000000000001,30.810000000000002,68.23,77.33,49.23,66.07,54.029999999999994,20.95,52.58,115.43,111.41999999999999,chr1:13980001:14000001	2.38
87.41000000000001,132.81,109.41,35.66,107.91,70.15,39.470000000000006,53.629999999999995,69.32,26.92,56.64999999999999,96.19999999999999,119.03,chr1:15210001:15230001	1.01
290.16,144.65,108.37000000000002,25.4,137.90000000000003,64.56000000000002,42.75,42.77,51.89,26.81,60.58999999999999,74.62,95.25,chr1:15420001:15440001	1.26
101.10999999999999,137.3,46.09,67.22000000000001,30.299999999999997,324.96,54.379999999999995,60.16,64.53,92.67999999999999,70.98,60.9,110.09,chr1:15860001:15880001	1.71
335.06000000000006,253.76000000000002,62.24000000000001,93.24,31.569999999999997,370.21999999999997,111.08999999999999,50.21999999999999,53.46,221.14000000000004,87.44000000000001,41.519999999999996,152.92000000000002,chr1:16100001:16120001	1.73
882.4500000000002,159.95999999999998,138.49,36.529999999999994,167.79999999999998,58.879999999999995,66.69,68.06,71.06,31.14,85.94,60.400000000000006,83.38000000000001,chr1:16380001:16400001	0.58
548.4399999999999,307.95,152.57000000000002,128.97000000000003,92.61,181.26999999999995,164.38,199.7,219.04999999999998,383.12,197.42999999999998,63.26,130.38,chr1:17370001:17390001	1.44
79.88,147.72,83.44000000000001,34.18,111.50999999999999,79.72000000000001,46.62,43.14,44.279999999999994,21.849999999999998,66.19999999999999,61.330000000000005,110.74,chr1:17770001:17790001	1.30
812.4599999999999,141.49999999999997,60.38,34.64,28.840000000000003,98.53,37.67,36.64,54.56999999999999,25.769999999999996,68.86,56.31999999999999,88.30999999999999,chr1:17980001:18000001	1.08
592.9600000000002,186.58,59.800000000000004,38.47,32.93,120.82000000000001,28.41,30.180000000000003,41.39999999999999,37.580000000000005,62.71,52.28,86.78999999999999,chr1:19200001:19220001	0.94
