CTCF,DNase,H2A,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K79me2,H3K9ac,H3K9me3,H4K20me1,Boundary
385.38000000000005,234.12,220.78999999999996,63.620000000000005,266.6799999999999,112.82000000000001,111.96000000000001,123.5,99.03000000000002,100.86000000000001,133.53,161.45999999999998,176.77999999999997,chr1:910001:930001
224.13000000000005,533.82,320.78,689.3100000000002,35.599999999999994,620.46,391.47999999999996,494.12999999999994,1058.1200000000001,741.9499999999999,632.8599999999999,50.969999999999985,434.71000000000004,chr1:1240001:1260001
328.6000000000001,377.27000000000004,343.4,161.19,351.62,91.89000000000001,167.79000000000002,212.51,390.74000000000007,125.53,264.96,114.50000000000001,183.54999999999995,chr1:1840001:1860001
247.76000000000002,480.39,263.9,457.9699999999999,49.36999999999999,273.88,278.29999999999995,311.26,403.46,263.33,418.94999999999993,60.56999999999999,159.78,chr1:2110001:2130001
87.16999999999999,155.37999999999997,173.76000000000002,9.3,88.46000000000001,57.45000000000001,27.389999999999993,24.96,25.0,58.8,45.0,412.52000000000004,98.72999999999999,chr1:2950001:2970001
276.44,164.32,210.78000000000003,29.72,488.96000000000004,81.66000000000001,59.36,45.629999999999995,43.06,74.52,97.01,199.55999999999997,164.75,chr1:3350001:3370001
99.14999999999999,143.64000000000001,212.06,15.59,37.6,67.03999999999999,20.150000000000002,27.580000000000002,27.83,57.30999999999999,41.400000000000006,571.7099999999999,103.65999999999998,chr1:5510001:5530001
191.57,360.08,322.0,165.61,81.94000000000001,179.75,226.16,286.31,480.5700000000001,199.08999999999995,299.78999999999996,51.21000000000001,182.51999999999998,chr1:6040001:6060001
122.98,199.19,104.40000000000002,252.11000000000004,34.720000000000006,337.33000000000004,207.94,131.03,41.93000000000001,312.09,136.93000000000004,52.779999999999994,166.40999999999997,chr1:6730001:6750001
287.87,308.4,155.78999999999996,273.71,35.18000000000001,628.5100000000001,161.91,223.98999999999998,390.7500000000001,406.45000000000005,355.71,66.71,292.0800000000001,chr1:8020001:8040001
174.91000000000003,308.23,155.88,507.65000000000003,34.28,709.5500000000001,463.1,237.18,65.18999999999998,587.6099999999999,297.59000000000003,49.26999999999999,395.03,chr1:8420001:8440001
145.69,705.2800000000001,153.01000000000002,550.88,71.14,377.78999999999996,283.3500000000001,397.93,512.89,400.8300000000001,547.87,56.269999999999996,414.87,chr1:8930001:8950001
457.78,227.21,127.41,120.16,46.19,171.45000000000005,195.47,132.79,60.089999999999996,386.03000000000003,195.33999999999997,41.82,342.32000000000005,chr1:10550001:10570001
260.15,215.06,130.98000000000002,95.57000000000002,127.33000000000001,530.45,98.78000000000003,81.97999999999999,37.07,181.13,164.96000000000004,75.88,296.07,chr1:11080001:11100001
195.51,459.80000000000007,236.35999999999999,369.59999999999997,54.949999999999996,295.9100000000001,273.12,337.63,388.89,323.15,351.64,89.46999999999998,254.24999999999997,chr1:11330001:11350001
212.01,275.3,161.77000000000004,103.17,336.38000000000005,95.03999999999999,184.12000000000003,91.75999999999999,40.58,100.32,125.10999999999999,127.35000000000001,134.99,chr1:12150001:12170001
128.28,204.36999999999998,94.97000000000001,58.769999999999996,69.88,576.3299999999999,142.98,69.83999999999999,27.03,201.51,109.9,82.07,271.46999999999997,chr1:12340001:12360001
98.35,130.85000000000002,99.69999999999999,31.419999999999995,88.84,47.7,26.259999999999998,43.99,15.240000000000002,69.47000000000001,63.230000000000004,220.58999999999997,72.23,chr1:13970001:13990001
94.94,142.17999999999998,152.1,12.37,38.849999999999994,50.84,6.870000000000001,36.089999999999996,11.27,57.05,47.25,448.59,81.24999999999999,chr1:14370001:14390001
143.55,210.0,199.41,31.490000000000002,410.86999999999995,104.36000000000001,71.91,51.67000000000001,31.33,76.96000000000001,92.32000000000001,188.32,152.30999999999997,chr1:15430001:15450001
124.91000000000001,604.78,220.94999999999996,334.9799999999999,33.48,408.26000000000005,122.45,344.40000000000003,759.08,190.7,392.41,59.1,205.19,chr1:15850001:15870001
217.67000000000002,406.9699999999999,196.57000000000005,176.01000000000005,58.47999999999999,836.1299999999999,245.02,87.25999999999999,42.96,203.16000000000003,183.60999999999999,76.14999999999999,276.02,chr1:16100001:16120001
263.29,242.70000000000002,216.11,60.230000000000004,473.5299999999999,97.81,134.68,73.07,89.36000000000001,69.17000000000002,165.31,77.50000000000001,166.57,chr1:16380001:16400001
341.44,346.33,193.73,173.85999999999999,128.16,253.01999999999998,154.26999999999995,247.10999999999999,362.66999999999996,356.04,334.49,61.540000000000006,216.67000000000002,chr1:17370001:17390001
375.4800000000001,241.49,167.70000000000002,122.39,55.03,841.0999999999999,196.32000000000002,62.56000000000001,32.15,234.27999999999997,167.5,53.25000000000001,315.54,chr1:17730001:17750001
560.97,236.94,236.03,79.53999999999998,49.309999999999995,473.22999999999996,91.96000000000001,36.11000000000001,21.790000000000003,113.85999999999999,151.64000000000001,45.889999999999986,209.10999999999999,chr1:17970001:17990001
132.85999999999999,158.09000000000003,230.13000000000002,22.77,101.94000000000003,70.24000000000001,25.8,24.64,17.97,63.989999999999995,53.790000000000006,480.34000000000003,125.86999999999998,chr1:18540001:18560001
143.70000000000002,177.57999999999998,211.78,20.23,259.04,61.150000000000006,44.629999999999995,49.57,18.56,79.67999999999999,88.84,130.15,164.14999999999998,chr1:18880001:18900001
147.55,447.65999999999997,173.04000000000002,462.73999999999995,46.83,128.05,582.3599999999999,233.74999999999997,71.97999999999999,669.2300000000001,340.09999999999997,50.36,242.3,chr1:19250001:19270001
323.7,245.35000000000005,194.66000000000003,124.21,47.14,699.1699999999998,155.9,47.32,31.559999999999995,167.89999999999998,152.09,67.75000000000001,286.12000000000006,chr1:19650001:19670001
109.63,223.59000000000003,205.71999999999997,36.14,155.62999999999997,302.32,82.38,50.0,30.09,109.85000000000001,68.64,155.97,247.59000000000003,chr1:20000001:20020001
95.66,180.59999999999997,174.6,60.37000000000002,53.52,334.19,80.28,47.26,30.52,141.15,147.31000000000003,72.65,150.92,chr1:21000001:21020001
238.17000000000002,256.39,161.35,98.57,76.63000000000001,471.79999999999995,107.50999999999998,62.050000000000004,27.839999999999996,137.5,114.74,69.94000000000001,183.67,chr1:21530001:21550001
138.64,240.52,162.45,104.02,454.74,283.63,228.5,169.93,82.75,117.07,151.95999999999998,132.53,271.74,chr1:21990001:22010001
106.78999999999999,221.98000000000005,71.82000000000002,105.72999999999999,31.56,376.6,221.11,142.74000000000004,35.849999999999994,486.02000000000004,131.69000000000003,40.41,764.1,chr1:22410001:22430001
488.7899999999999,227.04,217.86999999999998,42.730000000000004,577.62,92.77,96.94000000000001,57.059999999999995,32.47,84.35,122.72000000000003,135.82,194.64000000000001,chr1:22990001:23010001
331.15000000000003,308.46999999999997,150.0,62.02,428.39000000000004,80.66000000000001,123.96000000000001,94.69,34.88,92.45,108.18,161.82,159.17999999999998,chr1:23290001:23310001
121.27999999999999,163.32,72.49000000000001,134.85000000000002,30.300000000000004,408.14,145.75999999999996,83.63,25.599999999999998,181.63000000000005,120.53999999999999,53.989999999999995,179.5,chr1:23610001:23630001
131.89000000000001,235.86999999999998,247.32999999999996,121.39,92.27000000000001,195.15999999999997,128.51000000000002,142.72,129.17000000000002,174.66,216.51,51.610000000000014,154.05999999999995,chr1:23840001:23860001
275.85999999999996,276.9,142.91,238.29000000000005,29.36,753.9399999999999,185.88,211.98,433.38999999999993,366.65,289.87,49.35,414.64000000000004,chr1:24070001:24090001
476.8299999999999,324.95,182.15,76.38000000000001,370.90999999999997,82.39000000000001,160.77999999999997,141.45,97.66999999999999,83.81,136.9,147.85000000000002,145.79000000000002,chr1:24510001:24530001
123.02000000000001,248.01000000000002,93.76,106.53999999999999,47.919999999999995,109.96,182.43,204.23,140.45,219.32,157.97,82.46,128.58,chr1:24720001:24740001
195.23000000000002,488.48,143.9,233.44000000000005,30.43,431.94999999999993,179.79,287.78999999999996,435.80000000000007,264.0,350.6700000000001,51.96000000000001,182.34,chr1:25550001:25570001
279.44,259.5400000000001,261.17,87.76999999999998,396.74,93.31000000000002,165.05,201.73000000000002,255.44,81.36,208.68999999999997,96.12,157.15000000000003,chr1:26350001:26370001
