CTCF,DNase,H2A,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K79me2,H3K9ac,H3K9me3,H4K20me1,Boundary
79.44000000000001,367.5799999999999,134.26000000000002,340.09999999999997,55.839999999999996,128.98,116.06,146.23999999999998,225.37,71.77999999999999,250.84999999999994,97.69999999999999,125.74,chr1:1010001:1030001
227.67999999999995,377.99,143.78,909.5499999999998,69.86,111.04999999999998,328.55000000000007,452.36000000000007,848.0,448.8800000000001,845.0799999999999,105.52,164.27999999999997,chr1:1280001:1300001
147.90999999999997,267.28,208.66,186.35,88.21000000000001,65.66000000000001,169.68,195.88,384.15,73.11000000000001,315.63000000000005,122.91,156.95,chr1:1840001:1860001
291.9500000000001,173.69000000000003,155.29999999999998,357.09999999999997,62.559999999999995,154.08999999999997,122.71000000000001,185.44,297.11999999999995,111.28,397.26000000000005,127.78999999999999,159.27999999999997,chr1:2110001:2130001
317.59999999999997,170.73,176.51999999999995,507.93999999999994,96.17,280.71999999999997,189.48000000000002,306.03999999999996,574.34,225.77999999999994,716.7099999999999,129.45,214.01999999999998,chr1:2330001:2350001
149.73000000000002,53.07999999999999,115.97999999999999,66.17000000000002,333.77,55.27,51.91,65.05999999999999,98.04,66.83000000000001,103.93,155.26999999999998,189.96999999999997,chr1:2720001:2740001
35.0,20.99,29.790000000000006,11.65,100.21,23.6,13.580000000000002,16.740000000000002,27.37,20.699999999999996,23.819999999999997,72.97,48.43000000000001,chr1:3980001:4000001
387.35,115.59000000000003,127.55000000000001,121.14000000000001,94.90000000000002,280.64,108.45,92.49999999999999,134.25000000000003,245.92,172.30999999999997,131.10999999999999,323.49,chr1:6090001:6110001
319.1799999999999,122.03999999999999,130.11,63.65,93.92000000000002,112.82000000000001,121.80999999999999,103.83,79.43,76.74,84.27,121.14999999999999,113.49000000000001,chr1:7260001:7280001
551.2599999999999,98.43,167.18999999999997,90.91000000000001,163.56000000000003,84.01,103.93,88.13,128.57,74.94,147.57,143.98,182.73999999999995,chr1:7710001:7730001
531.9300000000001,294.04999999999995,166.94000000000003,595.76,84.86000000000001,446.71000000000004,195.12,358.1099999999999,480.36000000000007,522.22,585.0899999999999,117.47999999999999,191.28999999999996,chr1:8020001:8040001
262.35,87.80999999999999,120.54,122.99000000000001,88.41000000000001,280.86999999999995,67.84,92.71000000000001,101.39999999999999,138.49999999999997,157.34999999999997,128.84,259.87,chr1:8410001:8430001
502.49000000000007,382.34000000000003,123.20999999999998,376.18,92.84999999999998,354.02,239.28,127.84,145.76000000000002,283.34000000000003,185.75,157.69,258.75999999999993,chr1:9160001:9180001
118.04,124.73,97.69999999999999,99.59000000000002,89.99,289.40000000000003,69.85000000000002,85.80999999999997,99.40999999999998,113.69,123.47,112.79999999999998,153.31,chr1:10230001:10250001
424.13000000000005,112.52000000000001,96.65,129.49,85.03000000000002,304.80999999999995,116.13,105.13,104.36,599.66,151.85999999999999,111.3,264.77,chr1:10540001:10560001
405.4400000000001,170.71,103.08,86.5,116.04,255.23999999999995,107.70000000000003,113.76,96.00000000000001,124.96000000000001,103.49000000000001,122.90999999999998,218.39999999999998,chr1:11080001:11100001
176.72999999999996,141.51,104.91,112.55000000000001,95.37,264.16,152.72000000000003,118.71999999999998,127.50999999999999,230.38,151.16,136.69,230.76,chr1:11340001:11360001
304.45,153.14000000000001,143.21,76.52000000000001,150.95,103.3,111.48000000000002,100.25,109.44999999999999,77.65,139.39,143.34,149.58999999999997,chr1:12150001:12170001
157.24999999999997,80.46,98.36000000000003,85.14999999999999,80.54,398.99999999999994,81.64,85.47999999999999,91.98,107.74,105.05000000000001,144.70999999999998,169.06,chr1:12360001:12380001
109.72,75.10000000000001,135.07,53.88,289.58,76.47,64.14,78.03,95.17000000000002,75.17000000000002,103.19,127.14000000000001,179.99,chr1:13910001:13930001
310.3200000000001,111.28,172.96,89.47,255.40000000000003,102.22999999999999,86.77999999999999,103.37999999999998,128.38,86.85,146.86,175.09,225.45,chr1:15420001:15440001
127.23,112.11,99.07,113.49,88.26,433.86000000000007,85.27,95.15999999999998,109.36999999999999,146.53,116.50999999999999,125.43,182.76,chr1:15880001:15900001
341.15000000000003,569.67,155.33000000000004,300.56,73.07000000000001,137.40999999999997,390.78999999999996,186.69,165.87,142.12,193.54000000000002,110.69999999999999,167.19,chr1:16100001:16120001
299.46000000000004,232.49000000000004,144.04,99.67,115.06999999999998,102.46000000000001,174.11,100.93999999999998,147.35,89.19999999999999,164.35999999999999,95.1,158.91,chr1:16380001:16400001
372.94,273.71999999999997,205.41999999999996,246.43000000000004,109.17000000000003,133.02999999999997,133.48999999999998,179.87,335.3,143.34000000000003,311.86,155.01,157.28,chr1:17380001:17400001
710.3100000000001,498.56999999999994,160.26000000000002,255.99,83.78000000000002,123.99000000000002,309.03000000000003,147.96999999999997,130.81,108.0,161.98,114.27999999999999,126.94000000000001,chr1:17810001:17830001
302.55000000000007,95.37000000000002,148.55000000000004,76.26000000000002,286.39,99.48,81.61000000000001,87.69999999999999,124.65,88.24000000000001,116.24000000000001,162.18999999999997,200.67,chr1:18900001:18920001
586.5200000000001,114.47000000000001,149.70999999999998,88.77000000000001,94.42,143.36,84.71999999999998,85.34,117.69,87.12999999999998,154.91,122.78999999999998,203.58999999999995,chr1:19200001:19220001
415.9999999999999,143.42999999999998,105.96000000000001,109.00000000000001,83.61,293.87999999999994,102.46000000000002,86.55,138.61,133.23,166.31,121.81,276.52,chr1:19650001:19670001
144.79000000000002,106.05999999999999,97.14999999999999,95.13,89.42000000000002,240.49999999999997,53.78999999999999,89.58999999999999,109.02,99.39999999999999,134.75,141.92,175.92999999999998,chr1:20010001:20030001
390.03000000000003,139.23000000000002,239.07,187.24,118.55000000000001,87.97999999999999,132.57999999999998,204.35999999999999,298.32000000000005,95.34,264.08,115.18,156.07,chr1:21010001:21030001
134.93,93.16999999999999,104.63000000000001,86.89000000000001,87.91000000000001,345.25,77.61999999999998,80.00999999999999,93.58999999999999,120.19000000000001,105.99,141.03999999999996,203.17000000000002,chr1:22000001:22020001
193.2,119.02,91.96,88.46000000000002,81.26000000000002,364.8,100.37,101.04999999999998,91.27,253.22999999999996,129.01,128.94,302.17999999999995,chr1:22420001:22440001
341.36000000000007,189.99999999999994,189.87,101.27,145.89,101.70000000000002,198.72,145.46,132.97000000000003,84.12,145.12999999999997,148.60999999999999,166.52999999999994,chr1:23280001:23300001
333.0599999999999,153.04,110.2,118.32,76.71,351.9800000000001,112.63999999999999,129.95000000000002,105.68999999999998,163.21,157.75000000000003,116.44999999999997,214.03999999999996,chr1:24080001:24100001
