CTCF,DNase,H2A,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K79me2,H3K9ac,H3K9me3,H4K20me1,Boundary
29.78,172.84,98.12,128.77,137.21,158.3,114.57,201.28,318.04,150.05,175.24,111.69,205.66,chr1:760138:780138
151.57,164.53,278.42,149,196.62,129.02,159.48,110.91,74.23,197.32,146.66,222.04,192.03,chr1:4650141:4670141
0,8.15,7.11,4.6,9.72,13.65,4.41,6.58,5.11,10.07,1.36,43.39,8.72,chr1:13107414:13127414
19.6,20.15,0,5.75,21.89,25.66,10.08,11.3,19.71,30.16,12.24,86.72,28.25,chr1:13757414:13777414
276.68,282.09,161.15,161.94,134.6,515.8,136.66,167.54,163.56,173.26,181.18,136.06,305.26,chr1:17277414:17297414
85.03,100.62,59.53,110.65,82.33,362.29,61.48,32.74,63.19,122.35,89.96,94.18,168.95,chr1:104082316:104102316
14.55,112.38,111.38,39.41,238.5,114.69,49.79,204.74,267.52,69.82,79.34,160.24,83.68,chr1:121128478:121148478
62.12,214.13,92,76.99,137.18,166.3,66.63,46.51,53.64,146.88,99.86,208.65,151.01,chr1:144838644:144858644
8.73,62.34,26.08,45.09,42.4,90.71,31.31,29.21,27.36,61.81,50.08,40.22,68.52,chr1:145358644:145378644
52.32,118.15,104.15,83.74,144.71,81.89,72.62,32.52,46.97,134.05,102.22,105.24,151.52,chr1:146483377:146503377
68.32,113.15,56.98,310.39,35.78,60.95,101.85,615.86,674.94,142.32,273.07,42.86,132.45,chr1:149803377:149823377
135.6,184.2,202.42,185.42,121.94,390.2,233.44,154.27,88.25,158.96,164.19,102.95,242.08,chr1:157083377:157103377
78.69,123.65,164.72,120.54,82.48,123.84,78.92,49.38,67.58,129.63,85.32,198.86,88.11,chr1:189363378:189383378
87.69,110.63,80.31,64.02,85.52,101.36,76.71,35.6,68.14,104.53,84.26,113.67,130.33,chr1:190523378:190543378
0,33.68,15.51,19.54,25.64,59.31,12.6,7.17,10.95,28.88,24.3,31.15,47.9,chr1:206143378:206163378
16.2,97.19,36.84,65.78,57.8,146.69,41.93,40.11,35.56,99.31,63.12,79.33,146.59,chr1:206563378:206583378
505.09,275.65,307.44,140.55,416.13,104.31,189.53,356.21,285.37,146.97,179.12,123.43,193.28,chr1:223883378:223903378
70.31,143.08,180.42,109.01,132.17,81.81,101.93,75.87,72.04,114.59,88.21,122.27,134.82,chr1:228843378:228863378
117.01,120.98,84.22,111.83,99.63,448.53,92.58,64.75,77.67,226.96,146.59,136.02,312.28,chr1:235643378:235663378
7.76,63.08,36.85,39.8,62.26,44.18,47.08,44.88,17.14,60.8,35.18,45.26,53.06,chr1:243243378:243263378
